"book_id","specification_id","value"
69,3,"Đinh Tị"
69,6,"Nguyễn Đức Vịnh"
70,1,"8935212355711"
70,3,"Đinh Tị"
70,6,"Nguyễn Đức Vịnh"
71,1,"8935212355674"
71,3,"Đinh Tị"
71,6,"Nguyễn Đức Vịnh"
72,1,"8935212355698"
72,3,"Đinh Tị"
72,6,"Nguyễn Đức Vịnh"
73,1,"8935212362429"
73,3,"Đinh Tị"
73,6,"Nguyễn Đức Vịnh"
73,4,"Tiếng Việt"
74,1,"8935236433280"
74,3,"Nhà Sách Minh Thắng"
74,6,"Lệ Quyên"
75,1,"8935212357548"
75,3,"Đinh Tị"
75,6,"Phạm Nhàn"
76,1,"8935212357500"
76,3,"Đinh Tị"
76,6,"Phạm Nhàn"
77,1,"8934974160779"
77,3,"NXB Trẻ"
78,1,"8935212357524"
78,3,"Đinh Tị"
78,6,"Phạm Nhàn"
79,1,"8935212358095"
79,3,"Đinh Tị"
79,6,"Thu Ngân"
79,4,"Tiếng Việt"
80,1,"8935236429030"
80,3,"Nhà Sách Minh Thắng"
80,6,"Hà Linh"
81,1,"8935212357531"
81,3,"Đinh Tị"
81,6,"Phạm Nhàn"
82,1,"8935212357562"
82,3,"Đinh Tị"
82,6,"Phạm Nhàn"
83,1,"8935212361910"
83,3,"Đinh Tị"
84,1,"8935212357517"
84,3,"Đinh Tị"
84,6,"Phạm Nhàn"
85,1,"8936066697118"
85,3,"1980 Books"
85,4,"Tiếng Việt"
86,1,"8935212357555"
86,3,"Đinh Tị"
86,6,"Phạm Nhàn"
87,1,"8936066697132"
87,3,"1980 Books"
87,4,"Tiếng Việt"
88,1,"8935235227491"
88,3,"Nhã Nam"
88,6,"Phương Thúy"
89,1,"8935212362412"
89,3,"Đinh Tị"
89,6,"Nguyễn Đức Vịnh"
89,4,"Tiếng Việt"
90,1,"8935212357128"
90,3,"Đinh Tị"
90,6,"Phạm Nhàn"
91,1,"8935227359483"
91,3,"Dn Tư Nhân Thương Mại Toàn Phúc"
92,1,"8935246944721"
92,3,"MCBooks"
92,6,"Lê Oanh"
93,1,"8935246944707"
93,3,"MCBooks"
93,6,"Lê Oanh"
94,1,"8935246944714"
94,3,"MCBooks"
94,6,"Lê Oanh"
95,1,"8935246944691"
95,3,"MCBooks"
95,6,"Lê Oanh"
96,1,"8935212373753"
96,8,"31/10/2025"
96,3,"Đinh Tị"
97,1,"8935212373746"
97,8,"31/10/2025"
97,3,"Đinh Tị"
98,1,"8935212373739"
98,8,"31/10/2025"
98,3,"Đinh Tị"
99,1,"8935212373715"
99,8,"31/10/2025"
99,3,"Đinh Tị"
100,1,"8935212373722"
100,8,"31/10/2025"
100,3,"Đinh Tị"
101,1,"8931805022367"
101,3,"Cty TNHH TM&DV VH GD Phía Nam"
102,1,"8931805022343"
102,3,"Cty TNHH TM&DV VH GD Phía Nam"
103,1,"8931805022350"
103,3,"Cty TNHH TM&DV VH GD Phía Nam"
104,1,"8931805022336"
104,3,"Cty TNHH TM&DV VH GD Phía Nam"
105,1,"8935210313737"
105,8,"18/10/2025"
105,3,"Tân Việt"
105,6,"Thu Hưng"
106,1,"8935210313409"
106,3,"Tân Việt"
106,6,"Thu Hưng"
107,1,"8935210313393"
107,3,"Tân Việt"
107,6,"Thu Hưng"
108,1,"8935210313386"
108,3,"Tân Việt"
108,6,"Thu Hưng"
109,1,"8935210313379"
109,3,"Tân Việt"
109,6,"Thu Hưng"
110,1,"8935210313362"
110,3,"Tân Việt"
110,6,"Thu Hưng"
111,1,"8935212373678"
111,3,"Đinh Tị"
111,6,"Thu Ngân"
112,1,"8935212373661"
112,3,"Đinh Tị"
112,6,"Thu Ngân"
113,1,"8935212373647"
113,3,"Đinh Tị"
113,6,"Thu Ngân"
114,1,"8935212373654"
114,3,"Đinh Tị"
114,6,"Thu Ngân"
115,1,"8935244859386"
115,3,"Nhà Xuất Bản Kim Đồng"
115,6,"Hoàng Thi"
116,1,"8936173842036"
116,3,"CÔNG TY CỔ PHẦN XUẤT BẢN VÀ GIÁO DỤC VIZI"
116,6,"Hoàng Dương"
117,1,"8935244859355"
117,3,"Nhà Xuất Bản Kim Đồng"
117,6,"Phạm Nguyên Trường"
118,1,"8935244859416"
118,3,"Nhà Xuất Bản Kim Đồng"
118,6,"Phạm Nguyên Trường"
119,1,"8935244859348-tb2021"
119,3,"Nhà Xuất Bản Kim Đồng"
119,6,"Phạm Nguyên Trường"
119,4,"Tiếng Việt"
120,1,"8935210289599"
120,3,"Tân Việt"
120,6,"Bích Lộc"
121,1,"8935352616246"
121,3,"Nhà Xuất Bản Kim Đồng"
121,4,"Tiếng Việt"
122,1,"8935244823936"
122,3,"Nhà Xuất Bản Kim Đồng"
123,1,"8935244823875"
123,3,"Nhà Xuất Bản Kim Đồng"
124,1,"8935244823882"
124,3,"Nhà Xuất Bản Kim Đồng"
124,4,"Tiếng Việt"
125,1,"8935244823905"
125,3,"Nhà Xuất Bản Kim Đồng"
126,1,"8935244823912"
126,3,"Nhà Xuất Bản Kim Đồng"
127,1,"8935235229983"
127,3,"Nhã Nam"
127,6,"Khánh Nguyên"
128,1,"8935212343206"
128,3,"Đinh Tị"
128,6,"Thu Ngân"
129,1,"8935352616215"
129,3,"Nhà Xuất Bản Kim Đồng"
129,4,"Tiếng Việt"
130,1,"8935352602416"
130,2,"7+"
130,3,"Nhà Xuất Bản Kim Đồng"
130,4,"Tiếng Việt"
