"id","code","name","district_id"
1209,"02905","Thị trấn Phố Lu",72
1210,"02908","Thị trấn Tằng Loỏng",72
1211,"02911","Xã Bản Phiệt",72
1212,"02914","Xã Bản Cầm",72
1213,"02917","Xã Thái Niên",72
1214,"02920","Xã Phong Niên",72
1215,"02923","Xã Gia Phú",72
1216,"02926","Xã Xuân Quang",72
1217,"02929","Xã Sơn Hải",72
1218,"02932","Xã Xuân Giao",72
1219,"02935","Xã Trì Quang",72
1220,"02938","Xã Sơn Hà",72
1221,"02944","Xã Phú Nhuận",72
1222,"02947","Thị trấn Phố Ràng",73
1223,"02950","Xã Tân Tiến",73
1224,"02953","Xã Nghĩa Đô",73
1225,"02956","Xã Vĩnh Yên",73
1226,"02959","Xã Điện Quan",73
1227,"02962","Xã Xuân Hoà",73
1228,"02965","Xã Tân Dương",73
1229,"02968","Xã Thượng Hà",73
1230,"02971","Xã Kim Sơn",73
1231,"02974","Xã Cam Cọn",73
1232,"02977","Xã Minh Tân",73
1233,"02980","Xã Xuân Thượng",73
1234,"02983","Xã Việt Tiến",73
1235,"02986","Xã Yên Sơn",73
1236,"02989","Xã Bảo Hà",73
1237,"02992","Xã Lương Sơn",73
1238,"02998","Xã Phúc Khánh",73
1239,"03001","Phường Sa Pa",74
1240,"03002","Phường Sa Pả",74
1241,"03003","Phường Ô Quý Hồ",74
1242,"03004","Xã Ngũ Chỉ Sơn",74
1243,"03006","Phường Phan Si Păng",74
1244,"03010","Xã Trung Chải",74
1245,"03013","Xã Tả Phìn",74
1246,"03016","Phường Hàm Rồng",74
1247,"03019","Xã Hoàng Liên",74
1248,"03022","Xã Thanh Bình",74
1249,"03028","Phường Cầu Mây",74
1250,"03037","Xã Mường Hoa",74
1251,"03040","Xã Tả Van",74
1252,"03043","Xã Mường Bo",74
1253,"03046","Xã Bản Hồ",74
1254,"03052","Xã Liên Minh",74
1255,"03055","Thị trấn Khánh Yên",75
1256,"03061","Xã Võ Lao",75
1257,"03064","Xã Sơn Thuỷ",75
1258,"03067","Xã Nậm Mả",75
1259,"03070","Xã Tân Thượng",75
1260,"03073","Xã Nậm Rạng",75
1261,"03076","Xã Nậm Chầy",75
1262,"03079","Xã Tân An",75
