"id","code","name","province_id"
492,"680","Huyện Bảo Lâm",44
493,"682","Huyện Đạ Huoai",44
494,"688","Thị xã Phước Long",45
495,"689","Thành phố Đồng Xoài",45
496,"690","Thị xã Bình Long",45
497,"691","Huyện Bù Gia Mập",45
498,"692","Huyện Lộc Ninh",45
499,"693","Huyện Bù Đốp",45
500,"694","Huyện Hớn Quản",45
501,"695","Huyện Đồng Phú",45
502,"696","Huyện Bù Đăng",45
503,"697","Thị xã Chơn Thành",45
504,"698","Huyện Phú Riềng",45
505,"703","Thành phố Tây Ninh",46
506,"705","Huyện Tân Biên",46
507,"706","Huyện Tân Châu",46
508,"707","Huyện Dương Minh Châu",46
509,"708","Huyện Châu Thành",46
510,"709","Thị xã Hòa Thành",46
511,"710","Huyện Gò Dầu",46
512,"711","Huyện Bến Cầu",46
513,"712","Thị xã Trảng Bàng",46
514,"718","Thành phố Thủ Dầu Một",47
515,"719","Huyện Bàu Bàng",47
516,"720","Huyện Dầu Tiếng",47
517,"721","Thành phố Bến Cát",47
518,"722","Huyện Phú Giáo",47
519,"723","Thành phố Tân Uyên",47
520,"724","Thành phố Dĩ An",47
521,"725","Thành phố Thuận An",47
522,"726","Huyện Bắc Tân Uyên",47
523,"731","Thành phố Biên Hòa",48
524,"732","Thành phố Long Khánh",48
525,"734","Huyện Tân Phú",48
526,"735","Huyện Vĩnh Cửu",48
527,"736","Huyện Định Quán",48
528,"737","Huyện Trảng Bom",48
529,"738","Huyện Thống Nhất",48
530,"739","Huyện Cẩm Mỹ",48
531,"740","Huyện Long Thành",48
532,"741","Huyện Xuân Lộc",48
533,"742","Huyện Nhơn Trạch",48
534,"747","Thành phố Vũng Tàu",49
535,"748","Thành phố Bà Rịa",49
536,"750","Huyện Châu Đức",49
537,"751","Huyện Xuyên Mộc",49
538,"753","Huyện Long Đất",49
539,"754","Thành phố Phú Mỹ",49
540,"755","Huyện Côn Đảo",49
541,"760","Quận 1",50
542,"761","Quận 12",50
543,"764","Quận Gò Vấp",50
544,"765","Quận Bình Thạnh",50
545,"766","Quận Tân Bình",50
546,"767","Quận Tân Phú",50
547,"768","Quận Phú Nhuận",50
548,"769","Thành phố Thủ Đức",50
549,"770","Quận 3",50
550,"771","Quận 10",50
551,"772","Quận 11",50
552,"773","Quận 4",50
553,"774","Quận 5",50
554,"775","Quận 6",50
555,"776","Quận 8",50
556,"777","Quận Bình Tân",50
557,"778","Quận 7",50
558,"783","Huyện Củ Chi",50
559,"784","Huyện Hóc Môn",50
560,"785","Huyện Bình Chánh",50
561,"786","Huyện Nhà Bè",50
562,"787","Huyện Cần Giờ",50
563,"794","Thành phố Tân An",51
564,"795","Thị xã Kiến Tường",51
565,"796","Huyện Tân Hưng",51
566,"797","Huyện Vĩnh Hưng",51
567,"798","Huyện Mộc Hóa",51
568,"799","Huyện Tân Thạnh",51
569,"800","Huyện Thạnh Hóa",51
570,"801","Huyện Đức Huệ",51
571,"802","Huyện Đức Hòa",51
572,"803","Huyện Bến Lức",51
573,"804","Huyện Thủ Thừa",51
